,artist,title,albumart,time,channel
0,@MatomaOfficial @sxmElectro,#GlowRadio,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493352723.3759172,
1,@NicoleMoudaber @sxmElectro,#InTheMood #ElectricArea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493355688.349049,
2,@MarkBrownDJ @sxmElectro,#Cr2LivenDirect #ElectricArea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493359228.2678974,
3,@Arty_Music @sxmElectro,Together FM,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493362768.2889555,
4,Flux Pavilion/Cammie Robinson,Pull The Trigger,http://www.siriusxm.com/albumart/Live/0730/fluxpavilion_58B7D968_m.jpg,1493366368.2648141,
5,Toby Green,Move,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493366608.2729144,
6,Yellow Claw,Open (ft. Moksi & John Fraser),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493366788.433805,
7,Tom Staar/Rob & Jack,Sunshine,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493366968.2754974,
8,Matroda,Get Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493367208.3015256,
9,Bassnectar/ATLiens,Interlock,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493367328.2778244,
10,TENSNAKE,Coma Cat (Round Table Knights Remix,http://www.siriusxm.com/albumart/Live/0800/tensnake_568D1551_m.jpg,1493367568.275574,
11,Chris Lake,I Want You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493367808.2865493,
12,Jauz,The Game,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493368108.2755866,
13,Fletcher,Wasted Youth (Michael Brun Remix),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493368288.2690494,
14,deadmau5,Avaritia,http://www.siriusxm.com/albumart/Live/0830/deadmau5_5500B603_m.jpg,1493368528.2833474,
15,Phantoms,Been Here Before,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493368708.2591195,
16,New Music Alert,On Electric Area,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493369008.2705884,
17,Busy P/Mayer Hawthorne,Genie (KDA Remix),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493369068.2921,
18,Chace/Yade Lauren,Something About You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493369248.2916393,
19,Chace,Belong,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493369488.3065894,
20,Wuki,Let Me Go (feat. Prxzm),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493369668.3102105,
21,Keys N Krates,U Already Know,http://www.siriusxm.com/albumart/Live/0830/keysnkrates_56755914_m.jpg,1493369848.3782694,
22,Jay Hardway,Scio,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493370028.2765894,
23,Alex Metric,Always There,http://www.siriusxm.com/albumart/Live/0900/alexmetric_56755184_m.jpg,1493370268.3120208,
24,The Chainsmokers,It Won't Kill Ya (feat. Louane),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493370448.5443006,
25,Dombresky,Technikal,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493370688.3226993,
26,ilan Bluestone/Giuseppe De Luca,Frozen Ground,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493370928.288226,
27,Pierce Fulton,Life In Letters,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493371108.3263242,
28,Pegboard Nerds,Talk About It,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493371348.4851215,
29,MAKJ/Max Styler/Elayna Boynton,Knock Me Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493371588.2873242,
30,#NightOwlRadio,Fri 9pET @sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493371768.2953794,
31,Flux Pavilion/Cammie Robinson,Pull The Trigger,http://www.siriusxm.com/albumart/Live/0930/fluxpavilion_58B7D968_m.jpg,1493371828.2834547,
32,Yellow Claw,Open (ft. Moksi & John Fraser),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493372008.279502,
33,Showtek/MC Ambush,90s By Nature,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493372248.3098586,
34,Lucas & Steve/Pep & Rash,Feel Alive,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493372428.3268347,
35,Tiesto/Sevenn,BOOM,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493372548.3141725,
36,Bassnectar/ATLiens,Interlock,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493372728.2876716,
37,Anna Lunoe & Sleepy Tom,Stay Awake,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493373028.3033779,
38,Jaded,In The Morning,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493373208.3005352,
39,MOTi/Katt Niall,Livin' 4 Ya,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493373388.3768325,
40,Offaiah,Run,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493373628.3155134,
41,Ummet Ozcan,On The Run,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493373748.3172176,
